"Publication Date","Fiscal Year","Agency Number","Agency Name","Unit Appropriation Number","Unit Appropriation Name","Responsibility Center Code","Responsibility Center Name","Financial Plan Savings Flag","sum_adopted_budget_amount","sum_current_modified_budget_amount","sum_financial_plan_amount","sum_adopted_budget_position","sum_current_modified_budget_position","sum_financial_plan_position","sum_adopted_budget_number_of_contracts","sum_current_modified_budget_number_of_contracts","sum_financial_plan_number_of_contracts"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0006","COUNSEL TO THE MAYOR","N","4,526,933","4,675,933","4,526,933","26","26","26","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0006","COUNSEL TO THE MAYOR","N","4,526,933","4,606,933","4,526,933","26","26","26","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0008","D/M FOR HUMAN SVC","N","1,348,827","1,348,827","1,348,827","7","7","7","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0008","D/M FOR HUMAN SVC","N","1,348,827","1,348,827","1,348,827","7","7","7","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0011","D/M FOR FINANCE AND ECO. DEV.","N","1,891,294","1,891,294","1,891,294","9","9","9","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0011","D/M FOR FINANCE AND ECO. DEV.","N","1,891,294","1,891,294","1,891,294","9","9","9","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0028","D/M FOR OPERATIONS","N","1,248,473","1,248,473","1,248,473","7","7","7","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0028","D/M FOR OPERATIONS","N","1,248,473","1,248,473","1,248,473","7","7","7","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0040","D/M FOR GOVERNMENT RELATIONS","N","2,287,628","2,287,628","2,287,628","13","13","13","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0040","D/M FOR GOVERNMENT RELATIONS","N","2,287,628","2,287,628","2,287,628","13","13","13","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0053","FIRST DEPUTY MAYOR","N","23,334,130","22,957,880","23,336,862","215","175","175","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS","0053","FIRST DEPUTY MAYOR","N","23,334,130","23,263,880","23,336,862","215","175","175","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS",,,"N","5,878,694","5,906,694","5,825,068","42","42","41","0","0","0"
"20260512","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS",,,"Y","0","0","6,286,117","0","40","44","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS",,,"N","5,878,694","5,906,694","5,825,068","42","42","41","0","0","0"
"20260217","2027","002","MAYORALTY","020","OFFICE OF THE MAYOR-PS",,,"Y","0","0","0","0","40","40","0","0","0"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0006","COUNSEL TO THE MAYOR","N","16,200","106,866","16,200","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0006","COUNSEL TO THE MAYOR","N","16,200","87,466","16,200","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0008","D/M FOR HUMAN SVC","N","10,000","6,730","10,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0008","D/M FOR HUMAN SVC","N","10,000","10,000","10,000","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0011","D/M FOR FINANCE AND ECO. DEV.","N","10,000","39,500","10,000","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0011","D/M FOR FINANCE AND ECO. DEV.","N","10,000","15,000","10,000","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0028","D/M FOR OPERATIONS","N","0","2,000","0","0","0","0","3","3","3"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0028","D/M FOR OPERATIONS","N","0","0","0","0","0","0","3","3","3"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0040","D/M FOR GOVERNMENT RELATIONS","N","615,207","553,207","620,328","0","0","0","0","0","0"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0040","D/M FOR GOVERNMENT RELATIONS","N","615,207","615,207","615,207","0","0","0","0","0","0"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0045","DIRECTOR OF COMMUNICATION","N","0","0","0","0","0","0","1","1","1"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0045","DIRECTOR OF COMMUNICATION","N","0","0","0","0","0","0","1","1","1"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0053","FIRST DEPUTY MAYOR","N","3,129,575","3,274,917","3,666,271","0","0","0","9","13","9"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS","0053","FIRST DEPUTY MAYOR","N","3,129,575","3,022,447","3,129,575","0","0","0","9","13","9"
"20260512","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS",,,"N","457,000","476,300","709,000","0","0","0","1","1","1"
"20260217","2027","002","MAYORALTY","021","OFFICE OF THE MAYOR-OTPS",,,"N","457,000","462,400","709,000","0","0","0","1","1","1"
